FirstName,LastName,Title_bucketed,DepartmentType,Attrition_Probability,Risk_Label,Primary_Risk_Factor,tenure_years_at_survey,days_since_training,Satisfaction Score
Isabela,Collins,Production Manager,Production       ,0.085,Normal,"High Risk Role (Production), Training Failed, Low Satisfaction",1.8507871321013005,124,1
Sierra,Macias,Production Manager,Production       ,0.1475,Normal,"High Risk Role (Production), Low Satisfaction",1.0485968514715949,0,1
Giuliana,Farmer,Production Manager,Production       ,0.1875,Normal,High Risk Role (Production),1.103353867214237,130,3
Pierce,Robbins,Production Manager,Production       ,0.065,Normal,"High Risk Role (Production), Mid-Tenure Risk, Training Failed, Low Satisfaction",3.1786447638603694,116,2
Lamont,Bridges,Production Technician Ii,Production       ,0.0525,Normal,High Risk Role (Production),1.4017796030116358,93,3
Axel,Hart,Production Technician Ii,Production       ,0.055,Normal,"High Risk Role (Production), Mid-Tenure Risk, Low Satisfaction",3.917864476386037,145,1
Emma,Escobar,Production Technician Ii,Production       ,0.0425,Normal,"High Risk Role (Production), Low Satisfaction",0.0,0,2
Erik,Padilla,Production Technician I,Production       ,0.0425,Normal,High Risk Role (Production),2.3682409308692676,179,5
Gilbert,Duffy,Production Technician I,Production       ,0.1125,Normal,"High Risk Role (Production), Mid-Tenure Risk",4.117727583846681,41,4
Evan,Chen,Production Technician I,Production       ,0.06,Normal,High Risk Role (Production),1.325119780971937,0,4
Serenity,Thornton,Production Technician I,Production       ,0.035,Normal,High Risk Role (Production),0.02190280629705681,105,5
Talan,Rivas,Production Technician I,Production       ,0.0275,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.457905544147844,64,3
Calvin,Braun,Production Technician I,Production       ,0.055,Normal,"High Risk Role (Production), Mid-Tenure Risk, Training Failed",3.271731690622861,39,5
Cale,Bender,Production Technician I,Production       ,0.13,Normal,"High Risk Role (Production), Mid-Tenure Risk",4.046543463381246,0,4
Kirsten,Vance,Production Technician I,Production       ,0.05,Normal,High Risk Role (Production),1.593429158110883,219,3
Cade,Cox,Production Technician I,Production       ,0.06,Normal,High Risk Role (Production),1.3908281998631074,0,5
Ibrahim,Wolfe,Production Manager,Production       ,0.0375,Normal,High Risk Role (Production),0.0,0,4
Elianna,Schmitt,Production Manager,Production       ,0.0775,Normal,"High Risk Role (Production), Mid-Tenure Risk, Training Failed",4.2792607802874745,0,4
Colby,Wolfe,Production Manager,Production       ,0.03,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.058179329226557,0,3
Autumn,Barrera,Production Technician Ii,Production       ,0.1925,Normal,High Risk Role (Production),2.080766598220397,0,3
Emmalee,Cervantes,Production Technician Ii,Production       ,0.0725,Normal,"High Risk Role (Production), Training Failed, Low Satisfaction",0.0,0,2
Jaxon,Anderson,Production Technician Ii,Production       ,0.125,Normal,"High Risk Role (Production), Mid-Tenure Risk, Low Satisfaction",4.128678986995209,213,1
Precious,Caldwell,Production Technician Ii,Production       ,0.075,Normal,"High Risk Role (Production), Training Failed, Low Satisfaction",0.6324435318275154,0,2
Yahir,Serrano,Production Technician I,Production       ,0.045,Normal,High Risk Role (Production),2.3956194387405887,0,4
Krystal,Peterson,Production Technician I,Production       ,0.0325,Normal,High Risk Role (Production),0.30390143737166325,0,3
Jadyn,Haley,Production Technician I,Production       ,0.09,Normal,"High Risk Role (Production), Low Satisfaction",0.0,0,1
Trent,Christian,Production Technician I,Production       ,0.06,Normal,"High Risk Role (Production), Mid-Tenure Risk",4.317590691307323,238,4
Nehemiah,Rivas,Production Technician I,Production       ,0.04,Normal,"High Risk Role (Production), Training Failed, Low Satisfaction",0.0,53,2
Wyatt,Spence,Production Technician I,Production       ,0.0625,Normal,"High Risk Role (Production), Training Failed, Low Satisfaction",0.0,0,2
Abram,Fisher,Production Technician I,Production       ,0.0675,Normal,High Risk Role (Production),2.817248459958932,147,4
Jayleen,Oconnell,Production Technician I,Production       ,0.035,Normal,High Risk Role (Production),0.5201916495550992,33,3
Jordon,Meadows,Production Manager,Production       ,0.0425,Normal,"High Risk Role (Production), Low Satisfaction",0.0,0,2
Justice,Pineda,Production Manager,Production       ,0.065,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.592060232717317,0,5
Isiah,Decker,Production Manager,Production       ,0.055,Normal,High Risk Role (Production),1.9164955509924708,104,3
Giada,Boone,Production Technician Ii,Production       ,0.22,High Risk,"High Risk Role (Production), Low Satisfaction",0.7282683093771389,201,1
Camryn,Guerra,Production Technician Ii,Production       ,0.0875,Normal,"High Risk Role (Production), Training Failed",1.5523613963039014,88,3
Melody,Rollins,Production Technician Ii,Production       ,0.0575,Normal,"High Risk Role (Production), Training Failed, Low Satisfaction",0.0,0,2
Lucia,Cummings,Production Technician Ii,Production       ,0.1375,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.0088980150581794,34,3
Jaylen,Serrano,Production Technician Ii,Production       ,0.04,Normal,High Risk Role (Production),0.0,0,5
Jayson,Bright,Production Technician I,Production       ,0.225,High Risk,"High Risk Role (Production), Low Satisfaction",1.0212183436002737,290,1
Krista,Franco,Production Technician I,Production       ,0.0475,Normal,"High Risk Role (Production), Low Satisfaction",0.0,0,2
Teresa,Farrell,Production Technician I,Production       ,0.0625,Normal,"High Risk Role (Production), Low Satisfaction",2.0616016427104724,0,2
Madeleine,Sherman,Production Technician I,Production       ,0.0875,Normal,High Risk Role (Production),0.9828884325804244,149,5
Allan,Butler,Production Technician I,Production       ,0.0475,Normal,High Risk Role (Production),2.8720054757015743,179,3
Nevaeh,Davila,Production Technician I,Production       ,0.045,Normal,High Risk Role (Production),2.0588637919233403,186,5
Gunnar,Webster,Production Technician I,Production       ,0.18,Normal,High Risk Role (Production),1.6536618754277892,0,4
Aydin,Tate,Production Technician I,Production       ,0.05,Normal,High Risk Role (Production),1.0869267624914443,0,5
Patrick,Mckinney,Production Technician I,Production       ,0.1,Normal,High Risk Role (Production),0.7282683093771389,0,3
Milagros,Foley,Production Manager,Production       ,0.09,Normal,"High Risk Role (Production), Mid-Tenure Risk, Training Failed, Low Satisfaction",3.6659822039698837,0,2
Rachael,Buck,Production Manager,Production       ,0.0625,Normal,"High Risk Role (Production), Training Failed",2.190280629705681,0,3
Rigoberto,Townsend,Production Manager,Production       ,0.045,Normal,"High Risk Role (Production), Low Satisfaction",1.377138945927447,25,1
Kaitlynn,Herman,Production Technician Ii,Production       ,0.065,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.6331279945242985,293,4
Marquise,Santana,Production Technician Ii,Production       ,0.115,Normal,"High Risk Role (Production), Low Satisfaction",0.2518822724161533,74,1
Trevin,Summers,Production Technician I,Production       ,0.1025,Normal,"High Risk Role (Production), Mid-Tenure Risk",4.232717316906228,94,5
Hailie,Bell,Production Technician I,Production       ,0.0925,Normal,High Risk Role (Production),2.406570841889117,0,5
Audrey,Stevens,Production Technician I,Production       ,0.06,Normal,"High Risk Role (Production), Mid-Tenure Risk, Training Failed, Low Satisfaction",3.887748117727584,0,2
Jason,Munoz,Production Technician I,Production       ,0.095,Normal,High Risk Role (Production),2.537987679671458,211,3
Carlee,Foley,Production Technician I,Production       ,0.0425,Normal,High Risk Role (Production),0.9774127310061602,0,5
Mylie,Salazar,Production Technician I,Production       ,0.0425,Normal,"High Risk Role (Production), Mid-Tenure Risk",4.068446269678303,0,5
Pablo,Parker,Production Technician I,Production       ,0.05,Normal,High Risk Role (Production),0.5749486652977412,0,4
Ulises,Shea,Production Technician I,Production       ,0.1175,Normal,"High Risk Role (Production), Training Failed, Low Satisfaction",2.704996577686516,0,1
Bethany,Terry,Production Technician I,Production       ,0.1675,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.802874743326489,0,4
Kamari,Holloway,Production Technician I,Production       ,0.0475,Normal,"High Risk Role (Production), Low Satisfaction",2.847364818617385,0,1
Jazlene,Mcdaniel,Production Manager,Production       ,0.21,High Risk,"High Risk Role (Production), Mid-Tenure Risk, Low Satisfaction",3.0034223134839153,0,1
Dane,Kelly,Production Manager,Production       ,0.045,Normal,"High Risk Role (Production), Training Failed",0.0,0,3
Camila,Dunn,Production Manager,Production       ,0.1575,Normal,High Risk Role (Production),1.8754277891854894,0,5
Tamia,Sharp,Production Technician Ii,Production       ,0.075,Normal,"High Risk Role (Production), Training Failed, Low Satisfaction",2.595482546201232,0,2
Jaliyah,Gamble,Production Technician Ii,Production       ,0.0725,Normal,High Risk Role (Production),1.3004791238877482,61,5
Xander,Savage,Production Technician Ii,Production       ,0.095,Normal,"High Risk Role (Production), Low Satisfaction",2.6967830253251197,42,1
Livia,Salazar,Production Technician I,Production       ,0.1,Normal,"High Risk Role (Production), Mid-Tenure Risk, Training Failed",4.158795345653662,28,3
Brooklynn,Mack,Production Technician I,Production       ,0.0575,Normal,"High Risk Role (Production), Low Satisfaction",2.2751540041067764,250,1
Irvin,Warner,Production Technician I,Production       ,0.0475,Normal,"High Risk Role (Production), Low Satisfaction",0.0,83,2
Dayton,Castro,Production Technician I,Production       ,0.0325,Normal,High Risk Role (Production),0.0,0,5
Hailey,Mckay,Production Technician I,Production       ,0.1725,Normal,"High Risk Role (Production), Mid-Tenure Risk, Training Failed, Low Satisfaction",3.3073237508555784,0,2
Jaquan,Rowland,Production Technician I,Production       ,0.105,Normal,"High Risk Role (Production), Training Failed",1.3935660506502396,108,5
David,Velez,Production Technician I,Production       ,0.0625,Normal,"High Risk Role (Production), Mid-Tenure Risk, Training Failed, Low Satisfaction",3.3100616016427105,129,2
Joslyn,Patel,Production Technician I,Production       ,0.02,Normal,High Risk Role (Production),0.7419575633127995,0,4
Colt,Archer,Production Manager,Production       ,0.2175,High Risk,"High Risk Role (Production), Mid-Tenure Risk, Low Satisfaction",3.0143737166324436,219,2
Abbigail,Cameron,Production Manager,Production       ,0.1725,Normal,"High Risk Role (Production), Low Satisfaction",2.425735797399042,0,1
Anastasia,Escobar,Production Technician Ii,Production       ,0.13,Normal,"High Risk Role (Production), Training Failed",0.7720739219712526,153,5
Aliana,Pena,Production Technician Ii,Production       ,0.0975,Normal,"High Risk Role (Production), Training Failed",2.937713894592745,0,5
Alejandra,Mclean,Production Technician I,Production       ,0.1,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.370294318959617,210,4
Marilyn,Greer,Production Technician I,Production       ,0.105,Normal,High Risk Role (Production),0.2600958247775496,136,4
Camila,Nichols,Production Technician I,Production       ,0.04,Normal,"High Risk Role (Production), Low Satisfaction",2.9130732375085557,88,2
Iris,Bruce,Production Technician I,Production       ,0.1,Normal,High Risk Role (Production),0.23545516769336072,0,3
Henry,Pratt,Production Technician I,Production       ,0.07,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.353867214236824,0,5
Ashanti,Scott,Production Technician I,Production       ,0.095,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.696098562628337,0,4
Sarahi,Burke,Production Technician I,Production       ,0.0775,Normal,High Risk Role (Production),1.6865160848733745,103,3
Aimee,Terry,Production Technician I,Production       ,0.07,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.460643394934976,129,4
Jerimiah,Jackson,Production Technician I,Production       ,0.0475,Normal,"High Risk Role (Production), Mid-Tenure Risk",4.635181382614648,0,5
Callie,Murray,Production Technician I,Production       ,0.19,Normal,"High Risk Role (Production), Mid-Tenure Risk, Training Failed",4.188911704312115,0,5
Fabian,Young,Production Manager,Production       ,0.055,Normal,High Risk Role (Production),1.2484599589322383,202,3
Juliette,Morton,Production Manager,Production       ,0.06,Normal,High Risk Role (Production),2.4941820670773445,0,4
Alyvia,Sellers,Production Technician Ii,Production       ,0.0525,Normal,"High Risk Role (Production), Low Satisfaction",2.9869952087611225,59,1
Noemi,Randall,Production Technician Ii,Production       ,0.1625,Normal,High Risk Role (Production),2.7926078028747434,0,4
Jazlene,Lozano,Production Technician Ii,Production       ,0.05,Normal,"High Risk Role (Production), Training Failed, Low Satisfaction",1.754962354551677,57,1
Jennifer,Salazar,Production Technician Ii,Production       ,0.2225,High Risk,High Risk Role (Production),0.7967145790554415,0,5
Caitlin,Robertson,Production Technician I,Production       ,0.1875,Normal,"High Risk Role (Production), Mid-Tenure Risk, Low Satisfaction",4.517453798767967,92,2
Elyse,Huerta,Production Technician I,Production       ,0.065,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.542778918548939,0,5
Barrett,Jennings,Production Technician I,Production       ,0.0875,Normal,"High Risk Role (Production), Training Failed",0.26283367556468173,0,5
Darius,Koch,Production Technician I,Production       ,0.07,Normal,"High Risk Role (Production), Mid-Tenure Risk, Training Failed",4.177960301163586,0,5
Virginia,Wallace,Production Technician I,Production       ,0.135,Normal,"High Risk Role (Production), Training Failed, Low Satisfaction",2.4421629021218343,57,1
Malik,Ochoa,Production Technician I,Production       ,0.06,Normal,"High Risk Role (Production), Low Satisfaction",0.14236824093086928,0,1
Elyse,Pratt,Production Technician I,Production       ,0.0225,Normal,"High Risk Role (Production), Low Satisfaction",0.07392197125256673,0,2
Yahir,Hill,Production Technician I,Production       ,0.0475,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.8740588637919235,207,5
Harley,Abbott,Production Technician I,Production       ,0.03,Normal,"High Risk Role (Production), Low Satisfaction",2.7159479808350446,0,1
Dawson,Pratt,Production Technician I,Production       ,0.065,Normal,"High Risk Role (Production), Training Failed, Low Satisfaction",1.7248459958932238,0,2
Michaela,Smith,Production Manager,Production       ,0.0525,Normal,High Risk Role (Production),2.327173169062286,0,4
Lillie,Leblanc,Production Manager,Production       ,0.0675,Normal,"High Risk Role (Production), Low Satisfaction",0.3203285420944558,0,1
Sincere,Rivera,Production Technician Ii,Production       ,0.06,Normal,High Risk Role (Production),0.0,0,5
Lucas,Good,Production Technician Ii,Production       ,0.05,Normal,"High Risk Role (Production), Mid-Tenure Risk, Training Failed",3.4250513347022586,0,4
Jonas,Hernandez,Production Technician Ii,Production       ,0.0875,Normal,"High Risk Role (Production), Mid-Tenure Risk",4.306639288158795,127,3
Cason,Tyler,Production Technician Ii,Production       ,0.0675,Normal,High Risk Role (Production),2.5845311430527036,113,4
Natalie,Christensen,Production Technician I,Production       ,0.165,Normal,"High Risk Role (Production), Low Satisfaction",0.8323066392881588,0,2
Taniya,Stafford,Production Technician I,Production       ,0.055,Normal,"High Risk Role (Production), Training Failed, Low Satisfaction",1.8535249828884326,0,1
Cherish,Preston,Production Technician I,Production       ,0.015,Normal,"High Risk Role (Production), Low Satisfaction",2.9623545516769334,14,1
Briley,Hanson,Production Technician I,Production       ,0.03,Normal,"High Risk Role (Production), Low Satisfaction",1.7713894592744694,239,2
Dakota,Salinas,Production Technician I,Production       ,0.035,Normal,High Risk Role (Production),1.5058179329226558,63,4
Janiyah,Ballard,Production Technician I,Production       ,0.0525,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.808350444900753,213,3
Annika,Malone,Production Technician I,Production       ,0.125,Normal,High Risk Role (Production),1.995893223819302,0,4
Celeste,Lin,Production Technician I,Production       ,0.045,Normal,High Risk Role (Production),0.0,254,4
Larissa,Warner,Production Technician I,Production       ,0.1325,Normal,"High Risk Role (Production), Mid-Tenure Risk",4.396988364134154,27,4
Lawrence,Cross,Production Technician I,Production       ,0.18,Normal,High Risk Role (Production),1.78507871321013,3,3
Kara,Barnes,Production Manager,Production       ,0.075,Normal,High Risk Role (Production),0.32306639288158795,353,4
Emery,Schmidt,Production Technician Ii,Production       ,0.06,Normal,High Risk Role (Production),1.6837782340862424,46,3
Hallie,Delacruz,Production Technician Ii,Production       ,0.0525,Normal,"High Risk Role (Production), Low Satisfaction",0.0,0,2
Tia,Atkins,Production Technician Ii,Production       ,0.0725,Normal,"High Risk Role (Production), Mid-Tenure Risk, Low Satisfaction",3.271731690622861,162,2
Nia,Nicholson,Production Technician Ii,Production       ,0.075,Normal,High Risk Role (Production),1.319644079397673,0,3
Estrella,Benitez,Production Technician I,Production       ,0.0575,Normal,"High Risk Role (Production), Training Failed",2.631074606433949,0,3
Kylie,Gilbert,Production Technician I,Production       ,0.0225,Normal,High Risk Role (Production),0.2108145106091718,85,5
Dane,Barton,Production Technician I,Production       ,0.0575,Normal,"High Risk Role (Production), Training Failed",1.5742642026009583,0,3
Atticus,Frost,Production Technician I,Production       ,0.0875,Normal,"High Risk Role (Production), Training Failed",0.16700889801505817,0,5
Yamilet,Cohen,Production Technician I,Production       ,0.05,Normal,"High Risk Role (Production), Training Failed, Low Satisfaction",2.0561259411362083,0,1
Emmalee,Reynolds,Production Technician I,Production       ,0.065,Normal,High Risk Role (Production),0.057494866529774126,190,4
Moshe,Taylor,Production Technician I,Production       ,0.07,Normal,"High Risk Role (Production), Low Satisfaction",0.0,143,2
Irene,Melton,Production Technician I,Production       ,0.06,Normal,High Risk Role (Production),1.45927446954141,0,5
Eddie,Whitney,Production Technician I,Production       ,0.1725,Normal,High Risk Role (Production),0.24914442162902123,266,4
Marcel,Gomez,Production Technician I,Production       ,0.11,Normal,High Risk Role (Production),1.4537987679671458,10,5
Amy,Foster-Baker,Other,Admin Offices,0.02,Normal,"Training Failed, Low Satisfaction",2.135523613963039,0,1
Janet,King,President & Ceo,Executive Office,0.0525,Normal,Mid-Tenure Risk,4.4955509924709105,91,4
Bonalyn,Boutwell,Other,Admin Offices,0.0775,Normal,Low Satisfaction,1.9876796714579055,258,2
Nan,Singh,Administrative Assistant,Admin Offices,0.0375,Normal,,0.0,216,4
Tyrone,Steans,Accountant I,Admin Offices,0.02,Normal,"Mid-Tenure Risk, Training Failed, Low Satisfaction",3.805612594113621,26,2
Estelle,Howard,Administrative Assistant,Admin Offices,0.03,Normal,"Mid-Tenure Risk, Low Satisfaction",4.049281314168378,140,1
William,LaRotonda,Accountant I,Admin Offices,0.0325,Normal,,1.9247091033538672,101,5
Mia,Brown,Accountant I,Admin Offices,0.0375,Normal,,0.0,0,5
Leigh Ann,Smith,Administrative Assistant,Admin Offices,0.0125,Normal,Low Satisfaction,0.4024640657084189,33,1
Peter,Foley,Accountant I,Admin Offices,0.0325,Normal,Training Failed,1.3169062286105406,47,3
Maximus,Carney,Accountant I,Admin Offices,0.035,Normal,"Mid-Tenure Risk, Training Failed",3.0855578370978782,0,5
Jaida,Sweeney,Sr. Network Engineer,Admin Offices,0.04,Normal,,2.9869952087611225,0,3
Rhys,Lawson,Sr. Network Engineer,Admin Offices,0.05,Normal,Mid-Tenure Risk,4.186173853524983,0,3
Skyler,Robles,Sr. Network Engineer,IT/IS,0.0625,Normal,Training Failed,2.6885694729637235,0,4
Allyson,Keller,Software Engineer,Software Engineering,0.04,Normal,Low Satisfaction,0.49007529089664614,0,2
Eddie,Bauer,Accountant I,Admin Offices,0.0225,Normal,,0.02737850787132101,0,5
Roger,Taylor,Accountant I,Admin Offices,0.035,Normal,"Training Failed, Low Satisfaction",1.7604380561259412,244,2
Marshall,Sellers,Sr. Network Engineer,Admin Offices,0.0475,Normal,Low Satisfaction,0.0,243,2
Cloe,Mcgrath,Sr. Network Engineer,IT/IS,0.02,Normal,,0.8788501026694046,0,4
Susan,Gordon,Sr. Network Engineer,IT/IS,0.02,Normal,Training Failed,2.302532511978097,0,3
Makenna,Newton,Software Engineer,Software Engineering,0.0625,Normal,,0.9390828199863107,0,5
Kellen,Smith,Accountant I,Admin Offices,0.025,Normal,"Mid-Tenure Risk, Low Satisfaction",3.030800821355236,80,1
Sherlyn,Carroll,Accountant I,Admin Offices,0.0175,Normal,"Mid-Tenure Risk, Training Failed",4.227241615331964,0,3
Rogelio,Flores,Sr. Network Engineer,Admin Offices,0.0075,Normal,Low Satisfaction,2.0533880903490758,0,1
Kadence,Gentry,Sr. Network Engineer,IT/IS,0.015,Normal,,1.6700889801505818,8,3
Willow,Golden,Sr. Network Engineer,IT/IS,0.02,Normal,,2.184804928131417,111,4
Amiyah,Sims,Other,Software Engineering,0.06,Normal,,1.5277207392197125,90,3
Jeffery,Hogan,Accountant I,Admin Offices,0.025,Normal,"Mid-Tenure Risk, Training Failed, Low Satisfaction",3.4962354551676933,0,2
Shaniya,Hamilton,Accountant I,Admin Offices,0.035,Normal,Low Satisfaction,2.8199863107460645,5,2
Johan,Willis,Accountant I,Admin Offices,0.025,Normal,,0.0,0,4
Seth,Alvarez,Sr. Network Engineer,Admin Offices,0.0175,Normal,,0.0,0,4
Aron,Grant,Sr. Network Engineer,IT/IS,0.015,Normal,"Training Failed, Low Satisfaction",2.1793292265571527,0,2
Haleigh,Carter,Sr. Network Engineer,IT/IS,0.0975,Normal,Training Failed,0.9883641341546886,129,3
Kaylynn,Mcguire,Accountant I,Admin Offices,0.015,Normal,Low Satisfaction,1.7166324435318274,146,2
Timothy,Villarreal,Accountant I,Admin Offices,0.0275,Normal,,1.002053388090349,35,4
Elliott,Petersen,Accountant I,Admin Offices,0.02,Normal,Low Satisfaction,1.809719370294319,29,1
Lily,Tyler,Sr. Network Engineer,Admin Offices,0.03,Normal,"Mid-Tenure Risk, Low Satisfaction",4.818617385352498,214,2
Noe,Mann,Sr. Network Engineer,IT/IS,0.0425,Normal,Low Satisfaction,2.0698151950718686,0,1
Niko,Durham,Administrative Assistant,Admin Offices,0.0425,Normal,Low Satisfaction,1.6180698151950719,0,2
Dante,Strong,Accountant I,Admin Offices,0.0225,Normal,Low Satisfaction,0.0,0,1
Angeline,Perez,Accountant I,Admin Offices,0.075,Normal,Mid-Tenure Risk,4.396988364134154,0,4
Jairo,Blanchard,Accountant I,Admin Offices,0.03,Normal,"Mid-Tenure Risk, Low Satisfaction",4.298425735797399,199,2
Rishi,Watkins,Sr. Network Engineer,Admin Offices,0.0175,Normal,Mid-Tenure Risk,3.9534565366187544,0,5
Immanuel,Goodwin,Sr. Network Engineer,IT/IS,0.0275,Normal,Low Satisfaction,1.5824777549623545,192,2
Raphael,Francis,Administrative Assistant,Admin Offices,0.03,Normal,"Mid-Tenure Risk, Low Satisfaction",3.1704312114989732,135,2
Hadley,Barrett,Accountant I,Admin Offices,0.025,Normal,Low Satisfaction,0.0,186,2
Mollie,Jenkins,Accountant I,Admin Offices,0.0175,Normal,"Mid-Tenure Risk, Low Satisfaction",4.082135523613963,126,2
Cali,Nolan,Accountant I,Admin Offices,0.04,Normal,"Mid-Tenure Risk, Low Satisfaction",3.2087611225188226,0,1
Malik,Crane,Sr. Network Engineer,IT/IS,0.015,Normal,,0.30116358658453113,0,4
Bryce,Higgins,Sr. Network Engineer,IT/IS,0.045,Normal,,2.784394250513347,303,4
Beatrice,Bean,Other,Admin Offices,0.0925,Normal,Low Satisfaction,2.4996577686516086,0,2
Shea,Novak,Administrative Assistant,Sales,0.0325,Normal,,1.949349760438056,36,4
Mateo,Mcdaniel,Administrative Assistant,Admin Offices,0.04,Normal,Low Satisfaction,1.1663244353182751,316,2
Arianna,Carlson,Accountant I,Admin Offices,0.055,Normal,Low Satisfaction,1.7221081451060918,230,1
Frankie,Davenport,Accountant I,Admin Offices,0.025,Normal,Low Satisfaction,0.6789869952087612,57,1
Morgan,Hammond,Accountant I,Admin Offices,0.02,Normal,"Training Failed, Low Satisfaction",1.4127310061601643,277,2
Judith,Mccullough,Sr. Network Engineer,IT/IS,0.0225,Normal,Mid-Tenure Risk,3.592060232717317,123,5
Luca,Francis,Other,Admin Offices,0.025,Normal,,1.2073921971252566,0,3
Mallory,Figueroa,Administrative Assistant,Sales,0.0175,Normal,Mid-Tenure Risk,3.5236139630390144,0,3
Larissa,Douglas,Administrative Assistant,Admin Offices,0.0175,Normal,,2.004106776180698,0,5
Konnor,Rivas,Accountant I,Admin Offices,0.0275,Normal,Training Failed,0.6433949349760438,6,4
Fernanda,Yu,Accountant I,Admin Offices,0.0125,Normal,Low Satisfaction,0.09856262833675565,0,2
Solomon,Paul,Accountant I,Admin Offices,0.02,Normal,"Training Failed, Low Satisfaction",2.305270362765229,0,1
Emiliano,Young,Sr. Network Engineer,IT/IS,0.1275,Normal,"Training Failed, Low Satisfaction",0.7282683093771389,293,2
Mason,Ellis,Other,Admin Offices,0.05,Normal,"Mid-Tenure Risk, Low Satisfaction",3.482546201232033,0,1
Athena,Moore,Other,Admin Offices,0.0025,Normal,Low Satisfaction,0.5941136208076659,0,1
Karla,Farrell,Administrative Assistant,Admin Offices,0.08,Normal,,2.841889117043121,213,3
Anderson,Meadows,Administrative Assistant,Admin Offices,0.005,Normal,Low Satisfaction,2.2833675564681726,0,1
Jacey,Braun,Accountant I,Admin Offices,0.025,Normal,Mid-Tenure Risk,3.4496919917864477,0,4
Nathan,Kline,Accountant I,Admin Offices,0.06,Normal,Low Satisfaction,1.3908281998631074,99,1
Gabriella,Benitez,Accountant I,Admin Offices,0.015,Normal,"Mid-Tenure Risk, Low Satisfaction",4.183436002737851,88,2
Juan,Gonzalez,Production Technician Ii,Production       ,0.06,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.3292265571526354,40,4
Cayo,Gonzalez,Production Technician I,Production       ,0.0225,Normal,"High Risk Role (Production), Mid-Tenure Risk",4.032854209445585,0,3
Taylor,Sparks,Production Technician I,Production       ,0.11,Normal,"High Risk Role (Production), Low Satisfaction",2.3572895277207393,0,1
Jeanette,Tippett,Production Technician I,Production       ,0.0525,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.2854209445585214,0,4
Rose,Ivey,Production Technician I,Production       ,0.1425,Normal,"High Risk Role (Production), Training Failed",1.566050650239562,76,4
Elijian,Clukey,Production Technician I,Production       ,0.09,Normal,"High Risk Role (Production), Mid-Tenure Risk, Low Satisfaction",4.462696783025325,144,2
Shari,Ngodup,Production Technician I,Production       ,0.08,Normal,"High Risk Role (Production), Mid-Tenure Risk, Low Satisfaction",4.175222450376454,297,1
John,Kretschmer,Production Technician I,Production       ,0.0375,Normal,"High Risk Role (Production), Mid-Tenure Risk, Low Satisfaction",4.262833675564682,30,2
Debbie,Mangal,Production Technician I,Production       ,0.175,Normal,"High Risk Role (Production), Low Satisfaction",2.2559890485968515,93,1
Helen,Billis,Production Technician I,Production       ,0.055,Normal,High Risk Role (Production),0.0,0,4
Yen,Johnston,Production Technician Ii,Production       ,0.085,Normal,"High Risk Role (Production), Mid-Tenure Risk, Training Failed",4.714579055441479,284,3
Hong,Pham,Production Technician I,Production       ,0.07,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.8329911019849416,0,5
Linda,Bachiochi,Production Technician I,Production       ,0.0975,Normal,High Risk Role (Production),1.83709787816564,272,4
Lily,DiNocco,Production Technician I,Production       ,0.15,Normal,"High Risk Role (Production), Training Failed",1.4647501711156743,0,3
Shana,Petingill,Production Technician Ii,Production       ,0.0775,Normal,"High Risk Role (Production), Mid-Tenure Risk",4.388774811772758,226,3
Jennifer,Cloninger,Production Technician Ii,Production       ,0.05,Normal,"High Risk Role (Production), Low Satisfaction",0.5530458590006845,12,1
Elias,Robinson,Production Technician I,Production       ,0.02,Normal,High Risk Role (Production),0.0,85,3
Libby,Fidelia,Production Technician I,Production       ,0.08,Normal,High Risk Role (Production),2.223134839151266,165,3
Ashanti,Price,Production Technician I,Production       ,0.025,Normal,"High Risk Role (Production), Low Satisfaction",1.0978781656399725,128,2
Makenna,Rojas,Production Technician I,Production       ,0.035,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.980835044490075,193,4
Rory,Stone,Production Technician I,Production       ,0.1675,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.9890485968514717,296,3
Ann,Montgomery,Production Technician I,Production       ,0.06,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.0937713894592744,0,3
Erin,Holder,Production Technician I,Production       ,0.015,Normal,"High Risk Role (Production), Training Failed",0.0,0,4
Aubrey,Kim,Production Technician I,Production       ,0.05,Normal,"High Risk Role (Production), Low Satisfaction",2.0670773442847366,0,2
Edward,Love,Production Technician I,Production       ,0.23,High Risk,"High Risk Role (Production), Mid-Tenure Risk",3.0855578370978782,196,4
